Large Load Bus Name,Substation,County,Bus Number,Bus Voltage,Load ID,Unique ID,Area Name/TSP,Capacity Ramp (MW),2026,2027,2028,2029,2030
BOSQUESW5,BOSQUESW5,BOSQUE,246,345,V2,246 V2,BEPC_TSP,,105.79,105.79,105.79,105.79,105.79
BOSQUESW5,BOSQUESW5,BOSQUE,246,345,V1,246 V1,BEPC_TSP,,105.79,105.79,105.79,105.79,105.79
BOSQUESW8,BOSQUESW8,BOSQUE,252,138,V1,252 V1,BEPC_TSP,,95.94,95.94,95.94,95.94,95.94
JCHRSTL_LD,JIMCHRISTAL,Denton,911,138,4,911 4,DENTNTSP,,125,125,125,125,172
JCHRSTL_LD,JIMCHRISTAL,Denton,911,138,X2,911 X2,DENTNTSP,,150,150,150,150,197
BARBER_LK1_8,BARBER_LK1_8,MITCHELL,1189,138,N1,1189 N1,ONCOR_ED,,200,400,500,500,500
BOWMAN_5,BOWMAN_5,ARCHER,1422,345,N2,1422 N2,ONCOR_ED,,0,85,355,655,930
FISHRDSS1_5,FISHRDSS1_5,WICHITA,1425,345,N1,1425 N1,ONCOR_ED,,0,0,78,390,738
BROWN_5,BROWN_5,BROWN,1444,345,N1,1444 N1,ONCOR_ED,,0,300,500,1100,1100
VALLYSES1_8,VALLYSES1_8,FANNIN,1691,138,N1,1691 N1,ONCOR_ED,,300,500,500,500,500
W_KRUM_5,W_KRUM_5,DENTON,1730,345,N1,1730 N1,ONCOR_ED,,0,150,225,300,375
WHCCS2_5,WH2_UNIT4_5,TARRANT,1879,345,V1,1879 V1,ONCOR_ED,,264,264,264,264,264
ROCKBRK1_8,ROCKBRK1_8,Tarrant,1892,138,1,1892 1,ONCOR_ED,,,41.25,82.5,96.25,110
ROCKBRK2_8,ROCKBRK2_8,Tarrant,1893,138,2,1893 2,ONCOR_ED,,,41.25,82.5,96.25,110
VENUS_S5,VENUS_S5,ELLIS,1906,345,N5,1906 N5,ONCOR_ED,,0,100,250,325,400
VENUS_S5,VENUS_S5,ELLIS,1906,345,N1,1906 N1,ONCOR_ED,,300,500,800,800,800
VENUS_N5,VENUS_N5,ELLIS,1907,345,N2,1907 N2,ONCOR_ED,,0,0,500,800,1100
VENUS_N5,VENUS_N5,ELLIS,1907,345,N1,1907 N1,ONCOR_ED,,0,25,417,614,810
HICKS_SW_1_8,HICKS_SW_1_8,TARRANT,2082,138,N2,2082 N2,ONCOR_ED,,100,200,250,300,300
HICKS_SW_1_8,HICKS_SW_1_8,TARRANT,2082,138,N1,2082 N1,ONCOR_ED,,150,150,150,150,150
WESTPORT1_8,WESTPORT1_8,TARRANT,2118,138,N1,2118 N1,ONCOR_ED,,,93.75,300,300,300
TOKEN_8,TOKEN_8,Collin,2181,138,N1,2181 N1,ONCOR_ED,,54,108,108,108,108
STAINBACK_5,STAINBACK_5,Dallas,2217,345,N1,2217 N1,ONCOR_ED,,0,0,0,40,140
STAINBACK_5,STAINBACK_5,Dallas,2217,345,1,2217 1,ONCOR_ED,,120,320,400,400,400
VIOLET_8,VIOLET_8,ELLIS,2230,138,N1,2230 N1,ONCOR_ED,,165,140,95,95,95
VIOLET_8,VIOLET_8,ELLIS,2230,138,1,2230 1,ONCOR_ED,,120,145,190,190,190
STERRETT1_8,STERRETT1_8,ELLIS,2317,138,N1,2317 N1,ONCOR_ED,,0,20,100,150,200
WATMLL_W5,WATMLL_W5,DALLAS,2427,345,N1,2427 N1,ONCOR_ED,,0,124.5,410,492,492
WATMLL_W5,WATMLL_W5,DALLAS,2427,345,N2,2427 N2,ONCOR_ED,,100,300,500,1000,1000
WATMLL_W5,WATMLL_W5,DALLAS,2427,345,N3,2427 N3,ONCOR_ED,,0,45,144,144,144
WATMLL_W5,WATMLL_W5,DALLAS,2427,345,N4,2427 N4,ONCOR_ED,,0,72,216,288,504
WATMLL_W5,WATMLL_W5,DALLAS,2427,345,N5,2427 N5,ONCOR_ED,,0,0,360,700,700
RICH_E_8,RICH_E_8,DALLAS,2690,138,N1,2690 N1,ONCOR_ED,,0,0,91.2,181,211
AMELIA1_8,AMELIA1_8,DALLAS,2815,138,N1,2815 N1,ONCOR_ED,,0,70,140,210,210
NAMFRST_P1_8,NAMFRST_P1_8,Dallas,2937,138,N1,2937 N1,ONCOR_ED,,,108,216,216,216
NOKOMIS1_8,NOKOMIS1_8,Dallas,2942,138,N1,2942 N1,ONCOR_ED,,0,3,140,235,324
INDUST_W8,INDUST_W8,DALLAS,2974,138,N1,2974 N1,ONCOR_ED,,0,400,400,400,400
BRADBRRY_8,BRADBRRY_8,Dallas,3064,138,N2,3064 N2,ONCOR_ED,,0,100,225,265,300
BRADBRRY_8,BRADBRRY_8,Dallas,3064,138,1,3064 1,ONCOR_ED,,58,100,150,150,150
WILMER1_8,WILMER1_8,DALLAS,3083,138,1,3083 1,ONCOR_ED,,396,756,756,756,756
WILMER1_8,WILMER1_8,DALLAS,3083,138,N4,3083 N4,ONCOR_ED,,0,0,74.4,124,173.6
CALPFREST_5,CALPFREST_5,FREESTONE,3186,345,V1,3186 V1,E_ONCOR_ED,,320,320,320,320,320
SKYBOX_8,SKYBOX_8,WILLIAMSON,3371,138,N1,3371 N1,ONCOR_ED,,166.3,250.3,294.3,300,300
SKYBOX_8,SKYBOX_8,WILLIAMSON,3371,138,1,3371 1,ONCOR_ED,,55,125,186.7,253.3,300
BITDEER_8,SDSES_2_8,MILAM,3431,138,1,3431 1,ONCOR_ED,,580,580,580,580,580
WHINSTONE_8,WHINSTNE_8,MILAM,3445,138,1,3445 1,ONCOR_ED,,272.5,272.5,272.5,272.5,272.5
VOSSLAKE_8,SCOOTER_8,MILAM,3750,138,N1,3750 N1,ONCOR_ED,,,,188,247,271
MORMINO_5,MORMINO_5,MCLENNAN,3779,345,N1,3779 N1,ONCOR_ED,,,,300,500,500
TOWER_5,TOWER_5,BELL,3780,345,N1,3780 N1,ONCOR_ED,,,,400,400,400
TEAL_EAST_8,TEAL_EAST_8,WILLIAMSON,3784,138,N1,3784 N1,ONCOR_ED,,,,,166.3,250.3
BELLTOWN_8,BELLTOWN_8,VAN ZANDT,3786,138,N1,3786 N1,ONCOR_ED,,,62.5,125,125,125
MIKESKA_5,MIKESKA_5,MCCULLOCH,3811,345,N1,3811 N1,ONCOR_ED,,,,300,500,500
OMICRON,OMICRON,BEXAR,5326,138,1,5326 1,CPS_TSP,,40,40,178,178,178
WISEMAN,WISEMAN,BEXAR,5487,138,N1,5487 N1,CPS_TSP,,,,106,106,106
RIOMEDINASB9,RIOMEDINASUB9,MEDINA,5805,138,X1,5805 X1,STEC_TSP,,,129,129,129,129
DUNLAYSB9,CSTROVILESW9,MEDINA,5807,138,X1,5807 X1,STEC_TSP,,25,66,129,129,129
SGERONIMOSB8,CSTROVILESB9,MEDINA,5808,138,X1,5808 X1,STEC_TSP,,,129,129,129,129
OKLA7A,OKLAUNION,WILBARGER,6100,345,I1,6100 I1,AEP_TNC,,,380,380,380,380
RILEY7B,RILEY,WILBARGER,6111,345,N1,6111 N1,AEP_TNC,,300,900,900,900,900
RILEY7B,RILEY,WILBARGER,6111,345,N2,6111 N2,AEP_TNC,,0,300,300,300,300
ABMULCW7A,ABILENE MULBERRY CREEK (WEST),JONES,6235,345,X1,6235 X1,AEP_TNC,,1000,1000,1000,1000,1000
ABMULCW7A,ABILENE MULBERRY CREEK (WEST),JONES,6235,345,N1,6235 N1,AEP_TNC,,0,0,1000,1000,1000
ABMULCW7A,ABILENE MULBERRY CREEK (WEST),JONES,6235,345,N2,6235 N2,AEP_TNC,,0,0,0,0,100
ABMULCW7A,ABILENE MULBERRY CREEK (WEST),JONES,6235,345,N3,6235 N3,AEP_TNC,,0,280,280,280,280
REDCREEK7A,SAN ANGELO RED CREEK,TOM GREEN,6444,345,N1,6444 N1,AEP_TNC,,50,300,300,300,300
TELIOS_RC,Telios Station,HUNT,6980,138,1,6980 1,RYBRNTSP,,,124.929,187.393,249.857,312.322
L_ZORN__5_1Y,ZORN,GUADALUPE,7042,345,N1,7042 N1,LCRA TSC,,,,300,500,750
L_EUCLID5_1Y,EUCLID,CALDWELL,7045,345,1,7045 1,LCRA TSC,,,300,300,300,300
L_HORNSB5_1Y,HORNSBY,TRAVIS,7047,345,6,7047 6,LCRA TSC,,426,733,966,966,966
L_HORNSB5_1Y,HORNSBY,TRAVIS,7047,345,3,7047 3,LCRA TSC,,315,315,315,315,315
L_MISTY_5_1Y,MISTY,CALDWELL,7051,345,1,7051 1,LCRA TSC,,,,232,463,695
L_GOOSEN5_1Y,GOOSENECK,GUADALUPE,7052,345,N1,7052 N1,LCRA TSC,,,,,500,500
L_GREEVA5_1Y,GREEN VALLEY,GUADALUPE,7054,345,N1,7054 N1,LCRA TSC,,,,,500,500
L_COUNLI8_1Y,COUNTY LINE,BASTROP,7211,138,1,7211 1,LCRA TSC,,,,86.8,156.2,156.2
L_COUNLI8_1Y,COUNTY LINE,BASTROP,7211,138,N1,7211 N1,LCRA TSC,,,,413.2,343.8,343.8
L_UTLEY_8_1Y,UTLEY,BASTROP,7317,138,N1,7317 N1,LCRA TSC,,,120,360,720,1200
L_UTLEY_8_1Y,UTLEY,BASTROP,7317,138,1,7317 1,LCRA TSC,,,0,0,69,103
L_SETTLE8_1Y,SETTLERS,BASTROP,7327,138,X1,7327 X1,LCRA TSC,,36.18,177.89,177.89,177.89,177.89
L_RIVERY8_1Y,RIVERY,WILLIAMSON,7347,138,1,7347 1,LCRA TSC,,31.03,80.41,92.94,97.19,101.7
GIBBS4A,GIBBS,SAN PATRICIO,8173,138,I1,8173 I1,AEP_TCC,,203.592,203.592,203.592,203.592,203.592
NEDIN7A,NORTH EDINBURG,HIDALGO,8383,345,N1,8383 N1,AEP_TCC,,0,288,540,540,540
WEIL_TRC4A,WEIL TRACT,NUECES,8482,138,N1,8482 N1,AEP_TCC,,,,50,100,200
BILLYRAY4A,BOOTSTRAP BILLYRAY,NUECES,8520,138,X1,8520 X1,AEP_TCC,,,300,300,300,300
POMPANO4A,POMPANO (VALLEY),CAMERON,8535,138,IP,8535 IP,AEP_TCC,,,,650,650,650
POMPANO4A,POMPANO (VALLEY),CAMERON,8535,138,N1,8535 N1,AEP_TCC,,,,260,260,260
WINTHROP4A,BOOTSTRAP WINTHORP,NUECES,8545,138,X1,8545 X1,AEP_TCC,,,300,300,300,300
RESNIK4A,SOUTHSIDE,SAN PATRICIO,8580,138,I1,8580 I1,AEP_TCC,,283.5,283.5,324.5,364,364
RESNIK4A,SOUTHSIDE,SAN PATRICIO,8580,138,I2,8580 I2,AEP_TCC,,283.5,283.5,324.5,364,364
NAISMITH7A,NAISMITH,SAN PATRICIO,8659,345,N1,8659 N1,AEP_TCC,,0,0,0,90,90
ZOISITE7A,ZOISITE,MATAGORDA,8754,345,I1,8754 I1,AEP_TCC,,,,,2100,2100
WREN7A,WREN,CAMERON,8759,345,I1,8759 I1,AEP_TCC,,,,1500,1500,1650
OXY_INGL4B,OXY-CHEM (DUPONT) PP-2,SAN PATRICIO,8820,138,S1,8820 S1,AEP_TCC,,100,100,100,100,100
LYTLE4A,LYTLE,MEDINA,8962,138,X2,8962 X2,AEP_TCC,,,0,150,150,150
LYTLE4A,LYTLE,MEDINA,8962,138,X1,8962 X1,AEP_TCC,,,150,150,150,150
FTBLOCKS_8,FTBLOCKS_8,PECOS,9424,138,N1,9424 N1,GOLDENSPREAD,,375,375,375,375,375
BULLIREN_5,BULLREN,FISHER,9468,345,1,9468 1,GOLDENSPREAD,,1400,1400,1400,1400,1400
PRNGMOSS_5,FLCNSEABD_S,HOWARD,10057,345,N1,10057 N1,ONCOR_ED,,0,0,0,250,500
TONKAWAW_5,TONKAWAW_5,SCURRY,11048,345,N1,11048 N1,ONCOR_ED,,0,600,1000,1000,1000
ENPRSMENT1_8,ENPRSMENT_8,WINKLER,11136,138,1,11136 1,ONCOR_ED,,75.8,75.8,75.8,75.8,75.8
ENPRSMENT2_8,ENPRSMENT2_8,WINKLER,11166,138,1,11166 1,ONCOR_ED,,75.8,75.8,75.8,75.8,75.8
FRONTIER_P8,FRONTIER_P8,MITCHELL,11393,138,X1,11393 X1,ONCOR_ED,,300,300,300,300,300
BLUEDOVE_P8,BLUEDOVE_P8,TARRANT,11852,138,N1,11852 N1,ONCOR_ED,,0,0,330,420,420
