DeliveryDate,DeliveryHour,SettlementPointName,SettlementPointPrice,SettlementPointType
01/21/2026,1,HB_HOUS,25.43,RTM
01/21/2026,2,HB_HOUS,22.10,RTM
01/21/2026,3,HB_HOUS,20.50,RTM
01/21/2026,4,HB_HOUS,19.80,RTM
01/21/2026,5,HB_HOUS,21.00,RTM
01/21/2026,6,HB_HOUS,28.50,RTM
01/21/2026,7,HB_HOUS,45.20,RTM
01/21/2026,8,HB_HOUS,55.60,RTM
01/21/2026,9,HB_HOUS,40.10,RTM
01/21/2026,10,HB_HOUS,35.00,RTM
01/21/2026,1,HB_HOUS,28.00,DAM
01/21/2026,2,HB_HOUS,24.00,DAM
01/21/2026,3,HB_HOUS,22.00,DAM
01/21/2026,4,HB_HOUS,21.00,DAM
01/21/2026,5,HB_HOUS,23.00,DAM
01/21/2026,6,HB_HOUS,30.00,DAM
01/21/2026,7,HB_HOUS,48.00,DAM
01/21/2026,8,HB_HOUS,60.00,DAM
01/21/2026,9,HB_HOUS,45.00,DAM
01/21/2026,10,HB_HOUS,38.00,DAM
01/21/2026,1,HB_NORTH,24.50,RTM
01/21/2026,2,HB_NORTH,21.00,RTM
01/21/2026,3,HB_NORTH,19.50,RTM
01/21/2026,1,HB_NORTH,27.00,DAM
01/21/2026,2,HB_NORTH,23.00,DAM
01/21/2026,3,HB_NORTH,21.00,DAM
